wind	parameter	perceptual	a	b	c	d	e	f	g
1	1	0.009471429	0.0061	0.0082	0.0221	0.0049	0.0093	0.0049	0.0108
1	2	0.008	0.0059	0.0121	0.0043	0.0068	0.0127	0.0069	0.0073
1	3	0.0138	0.0089	0.0135	0.0173	0.0131	0.0233	0.0094	0.0111
1	4	0.042171429	0.0463	0.0489	0.037	0.0521	0.0287	0.0438	0.0384
1	5	0.051371429	0.0475	0.036	0.0644	0.0526	0.0508	0.0493	0.059
1	6	0.0854	0.1216	0.0747	0.1013	0.0846	0.0494	0.0922	0.074
2	7	0.089728571	0.0974	0.0736	0.1086	0.0923	0.0883	0.0739	0.094
2	1	0.005557143	0.0072	0.0073	0.0091	0.0022	0.0039	0.005	0.0042
2	2	0.006942857	0.0066	0.0102	0.006	0.0055	0.0063	0.0094	0.0046
2	3	0.009314286	0.0085	0.0077	0.007	0.0087	0.0145	0.0085	0.0103
2	4	0.035628571	0.0183	0.0421	0.035	0.0552	0.0406	0.0334	0.0248
2	5	0.057828571	0.0721	0.0653	0.0711	0.0479	0.0377	0.0593	0.0514
2	6	0.066771429	0.0683	0.0612	0.0449	0.0793	0.0683	0.064	0.0814
2	7	0.082228571	0.0991	0.078	0.0739	0.0828	0.0943	0.0824	0.0651
3	1	0.004557143	0.0062	0.0033	0.0076	0.0029	0.0037	0.0048	0.0034
3	2	0.004528571	0.0056	0.0045	0.0059	0.0023	0.0051	0.0056	0.0027
3	3	0.008228571	0.0052	0.0133	0.0065	0.0089	0.0117	0.0073	0.0047
3	4	0.031357143	0.0248	0.0483	0.0211	0.044	0.0267	0.0331	0.0215
3	5	0.039185714	0.028	0.0343	0.0278	0.035	0.052	0.0419	0.0553
3	6	0.066628571	0.0686	0.0585	0.0816	0.0598	0.0536	0.0661	0.0782
3	7	0.076228571	0.0789	0.0726	0.0518	0.097	0.0851	0.0566	0.0916
4	1	0.003414286	0.0053	0.0031	0.0028	0.0017	0.0035	0.0048	0.0027
4	2	0.006771429	0.0054	0.0076	0.0104	0.0041	0.0046	0.0048	0.0105
4	3	0.007385714	0.0051	0.0067	0.0065	0.0037	0.0122	0.0066	0.0109
4	4	0.0295	0.0159	0.0341	0.0402	0.0169	0.0293	0.0501	0.02
4	5	0.0323	0.0248	0.0403	0.0168	0.0277	0.046	0.0278	0.0427
4	6	0.052057143	0.0229	0.0488	0.0649	0.0403	0.0679	0.0752	0.0444
4	7	0.073542857	0.0896	0.0858	0.0539	0.0674	0.0701	0.073	0.075
